epoch,step,train_loss,val_dice,val_loss
0,5,,0.0,1.2955690622329712
0,5,1.2452982664108276,,
1,11,,0.0,1.1666508913040161
1,11,1.111941933631897,,
2,17,,0.0,1.0860683917999268
2,17,1.0685657262802124,,
3,23,,0.0003092199331149459,1.04890775680542
3,23,1.0533405542373657,,
4,29,,0.0,1.0434521436691284
4,29,1.0398969650268555,,
5,35,,0.033942922949790955,1.0308218002319336
5,35,1.032169222831726,,
6,41,,0.00014726456720381975,1.0265905857086182
6,41,1.0290361642837524,,
7,47,,0.0008360246429219842,1.0267056226730347
7,47,1.0289461612701416,,
8,53,,0.038226108998060226,1.018684983253479
8,53,1.0243779420852661,,
9,59,,0.0,1.0211745500564575
9,59,1.0247516632080078,,
10,65,,0.00046616944018751383,1.0153393745422363
10,65,1.01926851272583,,
11,71,,0.08347779512405396,1.0259302854537964
11,71,1.0187190771102905,,
12,77,,0.026119515299797058,1.0163145065307617
12,77,1.0171325206756592,,
13,83,,0.1151076927781105,1.0194419622421265
13,83,1.0112770795822144,,
14,89,,0.10557255893945694,1.0167440176010132
14,89,1.0116623640060425,,
15,95,,0.04205944016575813,1.0101732015609741
15,95,1.0087460279464722,,
16,101,,0.07396218925714493,1.0112223625183105
16,101,1.0113312005996704,,
17,107,,0.18585443496704102,1.014752745628357
17,107,1.0050272941589355,,
18,113,,0.18129639327526093,1.0120186805725098
18,113,1.0074312686920166,,
19,119,,0.3251773416996002,1.0055407285690308
19,119,1.0069574117660522,,
20,125,,0.22769348323345184,1.0090559720993042
20,125,1.002480387687683,,
21,131,,0.10023757815361023,1.00796377658844
21,131,1.0017808675765991,,
22,137,,0.1106182262301445,1.0118049383163452
22,137,1.001952886581421,,
23,143,,0.22092613577842712,1.0017389059066772
23,143,0.9993597865104675,,
24,149,,0.2540542781352997,0.9983246326446533
24,149,0.9971255660057068,,
25,155,,0.25509369373321533,1.0028804540634155
25,155,0.9998807907104492,,
26,161,,0.29755789041519165,1.0044718980789185
26,161,0.9938849806785583,,
27,167,,0.2338782250881195,1.0023027658462524
27,167,0.9927401542663574,,
28,173,,0.25202056765556335,0.9980556964874268
28,173,0.9963774681091309,,
29,179,,0.2000839114189148,0.9974125027656555
29,179,0.9938194155693054,,
30,185,,0.31847113370895386,0.9860708117485046
30,185,0.9938948750495911,,
31,191,,0.30397331714630127,1.0042476654052734
31,191,0.9956297278404236,,
32,197,,0.31473931670188904,1.0027602910995483
32,197,0.989756166934967,,
33,203,,0.23245292901992798,0.9970434308052063
33,203,0.9890266060829163,,
34,209,,0.3685154318809509,0.9755153656005859
34,209,0.9884709715843201,,
35,215,,0.3966180086135864,0.9928191304206848
35,215,0.9883906245231628,,
36,221,,0.34098508954048157,0.9902929663658142
36,221,0.9902315139770508,,
37,227,,0.3207789361476898,0.9922000765800476
37,227,0.9870729446411133,,
38,233,,0.2944214940071106,0.9930069446563721
38,233,0.990607500076294,,
39,239,,0.4125858247280121,0.9933322072029114
39,239,0.9859740138053894,,
40,245,,0.4196231961250305,0.9904847145080566
40,245,0.9833784699440002,,
41,251,,0.36109432578086853,0.9860500693321228
41,251,0.9794578552246094,,
42,257,,0.3646930158138275,0.9891655445098877
42,257,0.9820055961608887,,
43,263,,0.3847053050994873,0.9888463020324707
43,263,0.9815053939819336,,
44,269,,0.39907389879226685,0.9768044352531433
44,269,0.9815707206726074,,
45,275,,0.2776629626750946,0.991651713848114
45,275,0.9783815741539001,,
46,281,,0.4157531261444092,0.9813697934150696
46,281,0.9805319905281067,,
47,287,,0.36672350764274597,0.9899644255638123
47,287,0.979221522808075,,
48,293,,0.4155678451061249,0.9721103310585022
48,293,0.9815371632575989,,
49,299,,0.3527548909187317,0.9892289042472839
49,299,0.9785763621330261,,
50,305,,0.35451212525367737,0.9771041870117188
50,305,0.9770167469978333,,
51,311,,0.4458053410053253,0.9851255416870117
51,311,0.9790220856666565,,
52,317,,0.48028507828712463,0.9858047366142273
52,317,0.9720912575721741,,
53,323,,0.3775242865085602,0.9874258637428284
53,323,0.981561005115509,,
54,329,,0.38481613993644714,0.9822655320167542
54,329,0.9746842384338379,,
55,335,,0.4037265479564667,0.977450430393219
55,335,0.9752767086029053,,
56,341,,0.3072044849395752,0.988018274307251
56,341,0.9766296744346619,,
57,347,,0.4887072741985321,0.9830768704414368
57,347,0.9743658900260925,,
58,353,,0.3628031313419342,0.9780929088592529
58,353,0.9703629016876221,,
59,359,,0.4579002857208252,0.9619755744934082
59,359,0.9756229519844055,,
60,365,,0.43470269441604614,0.9760782718658447
60,365,0.9704599976539612,,
61,371,,0.42137986421585083,0.9679622650146484
61,371,0.9736080169677734,,
62,377,,0.3680241107940674,0.9748788475990295
62,377,0.9702673554420471,,
63,383,,0.41644731163978577,0.989238440990448
63,383,0.9749948382377625,,
64,389,,0.4245132803916931,0.9822643399238586
64,389,0.9680020213127136,,
65,395,,0.46630531549453735,0.9875898957252502
65,395,0.9671913981437683,,
66,401,,0.45900043845176697,0.9731486439704895
66,401,0.9728343486785889,,
67,407,,0.44412103295326233,0.9617605209350586
67,407,0.9705421924591064,,
68,413,,0.4089021384716034,0.9778454899787903
68,413,0.9747796654701233,,
69,419,,0.4589693248271942,0.9588654041290283
69,419,0.9700031280517578,,
70,425,,0.4883210062980652,0.9692296385765076
70,425,0.9703323841094971,,
71,431,,0.3854079246520996,0.9695079326629639
71,431,0.9690394401550293,,
72,437,,0.3466698229312897,0.9685564041137695
72,437,0.9655236601829529,,
73,443,,0.3835981488227844,0.9782266616821289
73,443,0.9691414833068848,,
74,449,,0.39296531677246094,0.9863523840904236
74,449,0.9644383788108826,,
75,455,,0.4389444887638092,0.9585406184196472
75,455,0.9625844955444336,,
76,461,,0.46113771200180054,0.9709939360618591
76,461,0.9653053283691406,,
77,467,,0.47052621841430664,0.9781417846679688
77,467,0.9624347686767578,,
78,473,,0.37043508887290955,0.9733062386512756
78,473,0.9575400948524475,,
79,479,,0.4574880599975586,0.9729890823364258
79,479,0.9656327366828918,,
80,485,,0.4213004410266876,0.969463586807251
80,485,0.9708361625671387,,
81,491,,0.4551393389701843,0.9592192769050598
81,491,0.9581674933433533,,
82,497,,0.4643862247467041,0.9769036173820496
82,497,0.9608674049377441,,
83,503,,0.44149911403656006,0.9682273864746094
83,503,0.9658120274543762,,
84,509,,0.370369017124176,0.978463351726532
84,509,0.9577715396881104,,
85,515,,0.4166575074195862,0.9826725125312805
85,515,0.9592192769050598,,
86,521,,0.5121111273765564,0.9614471793174744
86,521,0.9544075131416321,,
87,527,,0.4033088684082031,0.959486722946167
87,527,0.9548588395118713,,
88,533,,0.4299696683883667,0.9705150723457336
88,533,0.9654996395111084,,
89,539,,0.359341561794281,0.9812704920768738
89,539,0.9623429179191589,,
90,545,,0.4659859836101532,0.9869398474693298
90,545,0.9645335078239441,,
91,551,,0.3835499882698059,0.9634464383125305
91,551,0.9542582035064697,,
92,557,,0.47137510776519775,0.9642219543457031
92,557,0.9568524360656738,,
93,563,,0.3845598101615906,0.9829864501953125
93,563,0.9591767191886902,,
94,569,,0.377943217754364,0.9871313571929932
94,569,0.9632746577262878,,
95,575,,0.45970985293388367,0.991205632686615
95,575,0.9659243226051331,,
96,581,,0.4553295373916626,0.9843747615814209
96,581,0.9619967937469482,,
97,587,,0.4658837616443634,0.9714789986610413
97,587,0.9562597870826721,,
98,593,,0.3913009464740753,0.9833230972290039
98,593,0.9592673182487488,,
99,599,,0.47481587529182434,0.9638842940330505
99,599,0.9593576788902283,,
100,605,,0.5039821863174438,0.9578275680541992
100,605,0.9575783610343933,,
101,611,,0.44737786054611206,0.9728267192840576
101,611,0.9595401883125305,,
102,617,,0.440373957157135,0.9691395163536072
102,617,0.9621662497520447,,
103,623,,0.4864616394042969,0.9687020182609558
103,623,0.9565702080726624,,
104,629,,0.4641801416873932,0.9625060558319092
104,629,0.9560790657997131,,
105,635,,0.5881608128547668,0.9692843556404114
105,635,0.9593029618263245,,
106,641,,0.4944539964199066,0.9732155203819275
106,641,0.9527754187583923,,
107,647,,0.43109580874443054,0.9737319946289062
107,647,0.962249755859375,,
108,653,,0.45487114787101746,0.977382242679596
108,653,0.962132453918457,,
109,659,,0.3884047567844391,0.971207320690155
109,659,0.9581885933876038,,
110,665,,0.47727659344673157,0.9610373973846436
110,665,0.9565703868865967,,
111,671,,0.4519367218017578,0.9746098518371582
111,671,0.954520046710968,,
112,677,,0.36994054913520813,0.971696674823761
112,677,0.9548044204711914,,
113,683,,0.42780983448028564,0.9755615592002869
113,683,0.9514216780662537,,
114,689,,0.4532249867916107,0.9741658568382263
114,689,0.9525600075721741,,
115,695,,0.4806261360645294,0.9637934565544128
115,695,0.9610560536384583,,
116,701,,0.418687641620636,0.9660229086875916
116,701,0.9545103907585144,,
117,707,,0.4264119565486908,0.9779443144798279
117,707,0.9621915817260742,,
118,713,,0.441642165184021,0.969799280166626
118,713,0.9551536440849304,,
119,719,,0.4181136190891266,0.9696471095085144
119,719,0.9557543396949768,,
120,725,,0.49728888273239136,0.9449977278709412
120,725,0.9550306797027588,,
121,731,,0.44636163115501404,0.9673168659210205
121,731,0.9560005068778992,,
122,737,,0.4462282955646515,0.9708123207092285
122,737,0.9509512782096863,,
123,743,,0.4862026572227478,0.9472540020942688
123,743,0.9539659023284912,,
124,749,,0.457632452249527,0.9635496139526367
124,749,0.9529898166656494,,
125,755,,0.5569460391998291,0.9585623741149902
125,755,0.9543233513832092,,
126,761,,0.5105543732643127,0.9460050463676453
126,761,0.9520702958106995,,
127,767,,0.25652453303337097,0.9804251790046692
127,767,0.9540534019470215,,
128,773,,0.4818879961967468,0.9562740921974182
128,773,0.9520230293273926,,
129,779,,0.42617446184158325,0.9583666324615479
129,779,0.9560472369194031,,
130,785,,0.5687307715415955,0.9609044194221497
130,785,0.947248637676239,,
131,791,,0.4617418348789215,0.9679358005523682
131,791,0.9536547064781189,,
132,797,,0.4186537563800812,0.9496929049491882
132,797,0.9545822739601135,,
133,803,,0.2937965989112854,0.9833812713623047
133,803,0.9485939145088196,,
134,809,,0.48902174830436707,0.9782348275184631
134,809,0.9532837271690369,,
135,815,,0.39005881547927856,0.9630005359649658
135,815,0.9529936909675598,,
