epoch,step,train_loss,val_dice,val_loss
0,5,,0.0,1.2955679893493652
0,5,1.2452934980392456,,
1,11,,0.0,1.1668745279312134
1,11,1.1120182275772095,,
2,17,,0.0,1.0862531661987305
2,17,1.0687745809555054,,
3,23,,0.00033038476249203086,1.0492929220199585
3,23,1.0537022352218628,,
4,29,,0.0,1.0438405275344849
4,29,1.040427803993225,,
5,35,,0.03213847801089287,1.0313245058059692
5,35,1.0329184532165527,,
6,41,,0.00018957993597723544,1.0275499820709229
6,41,1.0300191640853882,,
7,47,,0.000983790261670947,1.0272074937820435
7,47,1.0299946069717407,,
8,53,,0.019364282488822937,1.0185976028442383
8,53,1.0256956815719604,,
9,59,,0.0,1.0232757329940796
9,59,1.0264853239059448,,
10,65,,0.0004308880597818643,1.0166316032409668
10,65,1.0212633609771729,,
11,71,,0.023805296048521996,1.022786259651184
11,71,1.0214067697525024,,
12,77,,0.019001757726073265,1.017893671989441
12,77,1.0201328992843628,,
13,83,,0.02992650493979454,1.020477294921875
13,83,1.0152397155761719,,
14,89,,0.002993009053170681,1.0191141366958618
14,89,1.0160239934921265,,
15,95,,0.12570112943649292,1.016329288482666
15,95,1.0125406980514526,,
16,101,,0.01585516519844532,1.0146232843399048
16,101,1.0162683725357056,,
17,107,,0.00021930110233370215,1.0169585943222046
17,107,1.0125020742416382,,
18,113,,0.028170539066195488,1.015616536140442
18,113,1.0163027048110962,,
19,119,,0.08336956799030304,1.0145429372787476
19,119,1.0156248807907104,,
20,125,,0.0597064234316349,1.0164518356323242
20,125,1.0115612745285034,,
21,131,,0.030931668356060982,1.0182160139083862
21,131,1.011660099029541,,
22,137,,0.0524599626660347,1.0189217329025269
22,137,1.013990044593811,,
23,143,,0.10503645986318588,1.0100609064102173
23,143,1.0127012729644775,,
24,149,,0.10386290401220322,1.0099393129348755
24,149,1.011980414390564,,
25,155,,0.08713320642709732,1.0139025449752808
25,155,1.014428734779358,,
26,161,,0.17509005963802338,1.0233418941497803
26,161,1.0080887079238892,,
27,167,,0.09020901471376419,1.0107547044754028
27,167,1.0070854425430298,,
28,173,,0.1377105563879013,1.00811767578125
28,173,1.009902000427246,,
29,179,,0.12743251025676727,1.0062729120254517
29,179,1.0066819190979004,,
30,185,,0.21176525950431824,1.0001206398010254
