epoch,step,train_loss,val_dice,val_loss
0,5,,0.0014224258484318852,11.468194007873535
1,9,0.9276366829872131,,
1,11,,0.0,nan
2,17,,0.0,nan
3,19,0.9932953715324402,,
3,23,,0.00237380457110703,nan
4,29,0.9877025485038757,,
4,29,,1.128923031501472e-05,nan
5,35,,0.0,26.788820266723633
6,39,0.9781971573829651,,
6,41,,2.3953241907292977e-05,13.46747875213623
7,47,,8.334375161211938e-05,nan
8,49,0.9286289215087891,,
8,53,,0.000894704891834408,5.017509937286377
9,59,0.9756655693054199,,
9,59,,9.196248356602155e-06,nan
10,65,,9.56818403210491e-05,14.657938957214355
11,69,0.9394583702087402,,
11,71,,4.356629142421298e-05,20.638687133789062
12,77,,0.00019331143994349986,14.023528099060059
13,79,0.9723258018493652,,
13,83,,0.06685714423656464,41.43718338012695
14,89,0.9074099063873291,,
14,89,,8.759251795709133e-05,25.32392692565918
15,95,,0.000606049201451242,18.635400772094727
16,99,0.9444870948791504,,
16,101,,0.004744065925478935,5.559711933135986
17,107,,0.0016807898646220565,9.056649208068848
18,109,0.9491881132125854,,
18,113,,0.0003734147176146507,9.62912654876709
19,119,0.8765667676925659,,
19,119,,0.03648383170366287,3.3762876987457275
20,125,,0.0029630050994455814,3.7174301147460938
21,129,0.8536847829818726,,
21,131,,0.0013980470830574632,9.296380996704102
22,137,,0.0010121524101123214,6.079017639160156
23,139,0.8659242987632751,,
23,143,,0.0003971135593019426,8.464384078979492
24,149,0.8859598636627197,,
24,149,,0.0013807862997055054,6.921502590179443
25,155,,0.0019512077560648322,9.403557777404785
26,159,0.9353380799293518,,
26,161,,0.0016303061274811625,9.223414421081543
27,167,,0.0012598773464560509,10.015914916992188
28,169,0.8455144762992859,,
28,173,,0.0028566576074808836,8.087591171264648
29,179,0.7686489224433899,,
29,179,,0.0006305170245468616,5.650383472442627
30,185,,0.003542081918567419,4.633691787719727
31,189,0.930689811706543,,
31,191,,0.0015684758545830846,8.81386661529541
32,197,,0.001423533190973103,9.8128080368042
33,199,0.8255050182342529,,
33,203,,9.48829620028846e-05,6.353041172027588
34,209,0.9180213809013367,,
34,209,,0.008962919004261494,5.8073410987854
35,215,,0.001206366578117013,5.008678913116455
36,219,0.880803108215332,,
36,221,,0.0005305628292262554,6.157705783843994
37,227,,0.0014223168836906552,5.799570560455322
38,229,0.861724317073822,,
38,233,,0.0026128580793738365,5.34254789352417
39,239,0.9536672234535217,,
39,239,,0.0016317229019477963,5.005366325378418
40,245,,0.001930133206769824,7.092041492462158
41,249,0.8803620934486389,,
41,251,,0.001634889398701489,5.892455577850342
42,257,,0.0009068726212717593,5.396923065185547
43,259,0.834700882434845,,
43,263,,0.003167975228279829,5.304628849029541
44,269,0.8860183358192444,,
44,269,,0.002537286374717951,4.9702887535095215
45,275,,0.0026665267068892717,5.313133716583252
46,279,0.7784128785133362,,
46,281,,0.00228903628885746,5.250976085662842
